Id,Date,Open,High,Low,Close,Volume,Name
732,11/26/2008,9.93,10.58,9.92,10.58,13654705,AABA
725,11/17/2008,10.50,10.94,10.32,10.63,14625723,AABA
729,11/21/2008,9.28,9.48,8.95,9.39,29909652,AABA
723,11/13/2008,10.32,11.17,9.76,11.15,25228350,AABA
723,11/13/2008,10.32,11.17,9.76,11.15,25228350,AABA
723,11/13/2008,10.32,11.17,9.76,11.15,25228350,AABA
727,11/19/2008,11.54,11.58,9.07,9.14,57696967,AABA
769,1/22/2009,11.35,11.51,10.90,11.28,17199517,AABA
771,1/26/2009,11.26,11.28,10.81,11.17,16699773,AABA
772,1/27/2009,11.20,11.37,10.85,11.34,33902972,AABA
721,11/11/2008,11.56,11.67,11.06,11.35,33299442,AABA
729,11/21/2008,9.28,9.48,8.95,9.39,29909652,AABA
735,12/2/2008,10.81,12.50,10.50,11.50,46296302,AABA
735,12/2/2008,10.81,12.50,10.50,11.50,46296302,AABA
737,12/4/2008,11.38,11.48,10.70,11.05,18458289,AABA
733,11/28/2008,10.76,11.59,10.65,11.51,12453526,AABA
737,12/4/2008,11.38,11.48,10.70,11.05,18458289,AABA
710,10/27/2008,11.82,12.19,11.50,11.58,16386302,AABA
765,1/15/2009,12.32,12.35,11.22,11.61,26155724,AABA
771,1/26/2009,11.26,11.28,10.81,11.17,16699773,AABA
738,12/5/2008,10.96,11.70,10.62,11.66,20951743,AABA
775,1/30/2009,11.86,12.15,11.51,11.73,21523168,AABA
753,12/29/2008,12.46,12.46,11.45,11.88,10472129,AABA
753,12/29/2008,12.46,12.46,11.45,11.88,10472129,AABA
754,12/30/2008,11.91,12.00,11.72,11.97,7488864,AABA
763,1/13/2009,12.09,12.79,11.78,12.10,25769365,AABA
763,1/13/2009,12.09,12.79,11.78,12.10,25769365,AABA
767,1/20/2009,11.72,11.80,11.01,11.01,18700653,AABA
712,10/29/2008,12.20,12.61,11.92,12.14,21469129,AABA
776,2/2/2009,11.50,12.32,11.49,12.15,21231852,AABA
740,12/9/2008,11.90,12.54,11.77,12.19,28998182,AABA
739,12/8/2008,12.17,12.49,11.79,12.20,33785147,AABA
755,12/31/2008,11.95,12.30,11.92,12.20,9090875,AABA
787,2/18/2009,12.12,12.53,12.07,12.22,12434257,AABA
787,2/18/2009,12.12,12.53,12.07,12.22,12434257,AABA
787,2/18/2009,12.12,12.53,12.07,12.22,12434257,AABA
789,2/20/2009,11.90,12.27,11.75,12.14,16479665,AABA
773,1/28/2009,12.23,12.38,11.92,12.24,37038661,AABA
775,1/30/2009,11.86,12.15,11.51,11.73,21523168,AABA
749,12/22/2008,13.03,13.08,12.00,12.35,12958323,AABA
753,12/29/2008,12.46,12.46,11.45,11.88,10472129,AABA
711,10/28/2008,11.89,12.40,11.25,12.36,22809791,AABA
707,10/22/2008,12.36,12.84,12.35,12.39,35670938,AABA
707,10/22/2008,12.36,12.84,12.35,12.39,35670938,AABA
709,10/24/2008,11.31,12.33,11.31,12.10,29721963,AABA
792,2/25/2009,12.45,12.79,12.30,12.48,16197381,AABA
795,3/2/2009,12.85,12.97,12.47,12.58,20932695,AABA
796,3/3/2009,12.79,12.87,12.31,12.50,16509694,AABA
795,3/2/2009,12.85,12.97,12.47,12.58,20932695,AABA
701,10/14/2008,13.78,13.93,12.37,12.65,26926209,AABA
784,2/12/2009,12.50,12.66,12.14,12.66,15452612,AABA
777,2/3/2009,12.30,12.71,12.01,12.68,18673128,AABA
747,12/18/2008,13.13,13.27,12.70,12.72,15012415,AABA
747,12/18/2008,13.13,13.27,12.70,12.72,15012415,AABA
747,12/18/2008,13.13,13.27,12.70,12.72,15012415,AABA
751,12/24/2008,12.41,12.48,12.29,12.32,2507850,AABA
744,12/15/2008,13.10,13.29,12.55,12.73,20132017,AABA
715,11/3/2008,12.74,12.89,12.55,12.75,10396403,AABA
715,11/3/2008,12.74,12.89,12.55,12.75,10396403,AABA
785,2/13/2009,12.67,12.99,12.59,12.84,11134047,AABA
796,3/3/2009,12.79,12.87,12.31,12.50,16509694,AABA
756,1/2/2009,12.17,12.85,12.12,12.85,10213787,AABA
759,1/7/2009,12.71,13.16,12.45,12.71,25302285,AABA
705,10/20/2008,13.03,13.03,12.33,12.86,25010596,AABA
705,10/20/2008,13.03,13.03,12.33,12.86,25010596,AABA
719,11/7/2008,12.45,12.50,11.65,12.20,47293147,AABA
757,1/5/2009,12.72,13.01,12.39,12.86,12029058,AABA
759,1/7/2009,12.71,13.16,12.45,12.71,25302285,AABA
1412,8/11/2011,11.89,12.92,11.88,12.86,51100217,AABA
822,4/8/2009,12.90,13.01,12.75,12.92,11245081,AABA
713,10/30/2008,12.53,13.18,12.25,12.93,26757050,AABA
715,11/3/2008,12.74,12.89,12.55,12.75,10396403,AABA
818,4/2/2009,13.04,13.14,12.80,12.95,28823034,AABA
821,4/7/2009,13.00,13.10,12.68,12.81,12306396,AABA
1417,8/18/2011,13.02,13.09,12.80,12.96,30448815,AABA
1419,8/22/2011,13.16,13.23,12.77,12.84,14199711,AABA
793,2/26/2009,12.88,13.39,12.74,12.98,26573957,AABA
795,3/2/2009,12.85,12.97,12.47,12.58,20932695,AABA
800,3/9/2009,12.85,13.45,12.55,12.66,23125091,AABA
703,10/16/2008,11.90,13.73,11.37,12.99,107745674,AABA
707,10/22/2008,12.36,12.84,12.35,12.39,35670938,AABA
778,2/4/2009,12.67,13.23,12.55,13.00,22932775,AABA
799,3/6/2009,12.60,13.18,12.52,13.05,30997807,AABA
760,1/8/2009,12.37,13.07,12.31,13.07,14348008,AABA
769,1/22/2009,11.35,11.51,10.90,11.28,17199517,AABA
1403,7/29/2011,13.89,14.07,13.04,13.10,67798407,AABA
1403,7/29/2011,13.89,14.07,13.04,13.10,67798407,AABA
1407,8/4/2011,12.80,12.86,11.99,12.00,39442225,AABA
1173,8/31/2010,13.11,13.14,12.94,13.11,16489625,AABA
761,1/9/2009,13.42,13.56,12.90,13.13,19317389,AABA
771,1/26/2009,11.26,11.28,10.81,11.17,16699773,AABA
743,12/12/2008,12.31,13.23,12.15,13.15,25069562,AABA
1421,8/24/2011,13.28,13.30,12.79,13.15,24968556,AABA
1423,8/26/2011,12.80,12.89,12.52,12.74,35884143,AABA
1421,8/24/2011,13.28,13.30,12.79,13.15,24968556,AABA
1423,8/26/2011,12.80,12.89,12.52,12.74,35884143,AABA
797,3/4/2009,12.72,13.49,12.51,13.16,24083874,AABA
799,3/6/2009,12.60,13.18,12.52,13.05,30997807,AABA
817,4/1/2009,12.70,13.12,12.60,12.75,14542683,AABA
801,3/10/2009,12.81,13.40,12.75,13.23,22733789,AABA
1169,8/25/2010,13.29,13.37,13.14,13.26,15560748,AABA
819,4/3/2009,12.95,13.39,12.78,13.34,18539230,AABA
821,4/7/2009,13.00,13.10,12.68,12.81,12306396,AABA
716,11/4/2008,13.05,13.49,12.84,13.35,25498962,AABA
719,11/7/2008,12.45,12.50,11.65,12.20,47293147,AABA
813,3/26/2009,13.55,13.61,13.00,13.35,24230289,AABA
817,4/1/2009,12.70,13.12,12.60,12.75,14542683,AABA
1427,9/1/2011,13.67,13.78,13.32,13.35,17962631,AABA
1429,9/6/2011,12.52,12.95,12.45,12.91,54455285,AABA
745,12/16/2008,12.88,13.48,12.88,13.36,18551653,AABA
753,12/29/2008,12.46,12.46,11.45,11.88,10472129,AABA
1174,9/1/2010,13.20,13.41,13.13,13.37,24616666,AABA
802,3/11/2009,13.31,13.50,13.03,13.39,17512327,AABA
805,3/16/2009,13.66,13.66,13.20,13.22,19452380,AABA
741,12/10/2008,12.67,13.57,12.35,13.40,48058085,AABA
771,1/26/2009,11.26,11.28,10.81,11.17,16699773,AABA
807,3/18/2009,13.81,13.95,13.23,13.42,26331039,AABA
807,3/18/2009,13.81,13.95,13.23,13.42,26331039,AABA
1171,8/27/2010,13.24,13.47,13.03,13.43,12705926,AABA
1173,8/31/2010,13.11,13.14,12.94,13.11,16489625,AABA
823,4/9/2009,13.14,13.59,13.07,13.47,17286715,AABA
1415,8/16/2011,13.34,13.57,13.18,13.48,25583139,AABA
1415,8/16/2011,13.34,13.57,13.18,13.48,25583139,AABA
1419,8/22/2011,13.16,13.23,12.77,12.84,14199711,AABA
779,2/5/2009,12.93,13.52,12.85,13.51,17574570,AABA
1175,9/2/2010,13.33,13.54,13.26,13.51,18190184,AABA
1177,9/7/2010,13.56,13.62,13.50,13.53,10240564,AABA
1177,9/7/2010,13.56,13.62,13.50,13.53,10240564,AABA
1401,7/27/2011,13.87,13.90,13.57,13.58,20560126,AABA
1409,8/8/2011,11.43,11.80,11.09,11.09,59577539,AABA
1413,8/12/2011,12.81,13.62,12.76,13.58,48476111,AABA
1419,8/22/2011,13.16,13.23,12.77,12.84,14199711,AABA
803,3/12/2009,13.35,13.60,13.10,13.60,16684508,AABA
805,3/16/2009,13.66,13.66,13.20,13.22,19452380,AABA
809,3/20/2009,13.63,13.87,13.51,13.60,22081704,AABA
817,4/1/2009,12.70,13.12,12.60,12.75,14542683,AABA
809,3/20/2009,13.63,13.87,13.51,13.60,22081704,AABA
811,3/24/2009,13.98,14.02,13.56,13.61,17439714,AABA
813,3/26/2009,13.55,13.61,13.00,13.35,24230289,AABA
811,3/24/2009,13.98,14.02,13.56,13.61,17439714,AABA
817,4/1/2009,12.70,13.12,12.60,12.75,14542683,AABA
1430,9/7/2011,13.75,14.00,13.24,13.61,77329448,AABA
780,2/6/2009,13.41,13.84,13.20,13.63,17594185,AABA
783,2/11/2009,12.87,12.91,12.38,12.63,13729006,AABA
1182,9/14/2010,13.76,13.76,13.60,13.63,23071935,AABA
1179,9/9/2010,13.88,13.92,13.57,13.65,17735433,AABA
1179,9/9/2010,13.88,13.92,13.57,13.65,17735433,AABA
1180,9/10/2010,13.68,13.77,13.54,13.68,18590129,AABA
1424,8/29/2011,12.90,13.68,12.69,13.68,31000622,AABA
1427,9/1/2011,13.67,13.78,13.32,13.35,17962631,AABA
1399,7/25/2011,13.84,13.88,13.68,13.69,16733449,AABA
1401,7/27/2011,13.87,13.90,13.57,13.58,20560126,AABA
1399,7/25/2011,13.84,13.88,13.68,13.69,16733449,AABA
1403,7/29/2011,13.89,14.07,13.04,13.10,67798407,AABA
1181,9/13/2010,13.83,13.88,13.61,13.73,24261381,AABA
697,10/8/2008,13.80,14.58,13.20,13.76,31660815,AABA
710,10/27/2008,11.82,12.19,11.50,11.58,16386302,AABA
1161,8/13/2010,13.81,13.96,13.76,13.83,7845583,AABA
1162,8/16/2010,13.75,13.90,13.68,13.79,11416375,AABA
1425,8/30/2011,13.30,13.98,13.23,13.84,29165003,AABA
1429,9/6/2011,12.52,12.95,12.45,12.91,54455285,AABA
1165,8/19/2010,13.85,14.00,13.80,13.85,14100653,AABA
1165,8/19/2010,13.85,14.00,13.80,13.85,14100653,AABA
1169,8/25/2010,13.29,13.37,13.14,13.26,15560748,AABA
1186,9/20/2010,13.95,14.06,13.84,13.86,26684166,AABA
1159,8/11/2010,14.14,14.20,13.84,13.87,13243119,AABA
1161,8/13/2010,13.81,13.96,13.76,13.83,7845583,AABA
1185,9/17/2010,14.33,14.33,13.88,13.89,79565378,AABA
781,2/9/2009,13.59,14.00,13.47,13.90,15686194,AABA
817,4/1/2009,12.70,13.12,12.60,12.75,14542683,AABA
717,11/5/2008,13.21,14.84,13.15,13.92,71290756,AABA
771,1/26/2009,11.26,11.28,10.81,11.17,16699773,AABA
1153,8/3/2010,13.95,14.07,13.91,13.94,14098558,AABA
1153,8/3/2010,13.95,14.07,13.91,13.94,14098558,AABA
1153,8/3/2010,13.95,14.07,13.91,13.94,14098558,AABA
1163,8/17/2010,13.84,14.00,13.75,13.94,13298852,AABA
1169,8/25/2010,13.29,13.37,13.14,13.26,15560748,AABA
1146,7/23/2010,13.78,14.04,13.52,13.99,34318352,AABA
1149,7/28/2010,13.91,13.99,13.85,13.87,13522529,AABA
1441,9/22/2011,14.20,14.25,13.69,13.99,60456273,AABA
826,4/15/2009,13.93,14.09,13.77,14.02,12385282,AABA
829,4/20/2009,14.16,14.25,13.60,13.66,13477019,AABA
836,4/29/2009,13.70,14.35,13.70,14.02,16570838,AABA
